,0,1,2,3,4,5,6,7,8
107,CTAS,Cintas,Industrials,Diversified Support Services,QQ1,2024,2023-09-26 16:41:03,"{'neg': 0.025, 'neu': 0.706, 'pos': 0.269, 'compound': 1.0}",1
108,CSCO,Cisco,Information Technology,Communications Equipment,QQ1,2024,2023-11-15 19:50:03,"{'neg': 0.026, 'neu': 0.746, 'pos': 0.228, 'compound': 1.0}",1
109,C,Citigroup,Financials,Diversified Banks,QQ1,2024,2024-04-12 16:46:09,"{'neg': 0.031, 'neu': 0.732, 'pos': 0.237, 'compound': 1.0}",1
110,CFG,Citizens Financial Group,Financials,Regional Banks,QQ1,2024,2024-04-17 14:10:02,"{'neg': 0.037, 'neu': 0.693, 'pos': 0.27, 'compound': 1.0}",1
111,CLX,Clorox,Consumer Staples,Household Products,QQ1,2024,2023-11-01 00:00:00,"{'neg': 0.048, 'neu': 0.744, 'pos': 0.209, 'compound': 1.0}",1
112,CME,CME Group,Financials,Financial Exchanges & Data,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.034, 'neu': 0.737, 'pos': 0.229, 'compound': 1.0}",1
113,CMS,CMS Energy,Utilities,Multi-Utilities,QQ1,2024,2024-04-25 00:00:00,"{'neg': 0.02, 'neu': 0.72, 'pos': 0.26, 'compound': 1.0}",1
114,KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,QQ1,2024,2024-04-30 00:00:00,"{'neg': 0.018, 'neu': 0.732, 'pos': 0.25, 'compound': 1.0}",1
115,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.028, 'neu': 0.754, 'pos': 0.219, 'compound': 1.0}",1
116,CL,Colgate-Palmolive,Consumer Staples,Household Products,QQ1,2024,2024-04-26 00:00:00,"{'neg': 0.022, 'neu': 0.668, 'pos': 0.31, 'compound': 1.0}",1
117,CMCSA,Comcast,Communication Services,Cable & Satellite,QQ1,2024,2024-04-25 00:00:00,"{'neg': 0.02, 'neu': 0.737, 'pos': 0.243, 'compound': 1.0}",1
118,CMA,Comerica,Financials,Diversified Banks,QQ1,2024,2024-04-18 13:08:10,"{'neg': 0.042, 'neu': 0.703, 'pos': 0.255, 'compound': 1.0}",1
119,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,QQ1,2024,2023-10-05 12:36:04,"{'neg': 0.033, 'neu': 0.706, 'pos': 0.26, 'compound': 1.0}",1
120,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.022, 'neu': 0.759, 'pos': 0.218, 'compound': 1.0}",1
121,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,QQ1,2024,2023-06-30 13:44:01,"{'neg': 0.019, 'neu': 0.734, 'pos': 0.247, 'compound': 1.0}",1
122,CEG,Constellation Energy,Utilities,Electric Utilities,QQ1,2024,2024-05-09 00:00:00,"{'neg': 0.021, 'neu': 0.72, 'pos': 0.26, 'compound': 1.0}",1
123,COO,CooperCompanies,Health Care,Health Care Supplies,QQ1,2024,2024-02-29 00:00:00,"{'neg': 0.027, 'neu': 0.698, 'pos': 0.275, 'compound': 1.0}",1
124,CPRT,Copart,Industrials,Diversified Support Services,QQ1,2024,2023-11-16 22:45:26,"{'neg': 0.034, 'neu': 0.742, 'pos': 0.224, 'compound': 1.0}",1
125,GLW,Corning Inc.,Information Technology,Electronic Components,QQ1,2024,2024-04-30 00:00:00,"{'neg': 0.023, 'neu': 0.741, 'pos': 0.236, 'compound': 1.0}",1
126,CPAY,Corpay,Financials,Transaction & Payment Processing Services,QQ1,2024,2024-05-09 01:18:07,"{'neg': 0.033, 'neu': 0.743, 'pos': 0.224, 'compound': 1.0}",1
127,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.024, 'neu': 0.78, 'pos': 0.196, 'compound': 1.0}",1
128,CSGP,CoStar Group,Real Estate,Real Estate Services,QQ1,2024,2024-04-23 23:35:23,"{'neg': 0.021, 'neu': 0.758, 'pos': 0.221, 'compound': 1.0}",1
129,COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,QQ1,2024,2023-12-14 22:00:26,"{'neg': 0.024, 'neu': 0.753, 'pos': 0.223, 'compound': 1.0}",1
130,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,QQ1,2024,2024-05-03 00:00:00,"{'neg': 0.035, 'neu': 0.733, 'pos': 0.232, 'compound': 1.0}",1
131,CCI,Crown Castle,Real Estate,Telecom Tower REITs,QQ1,2024,2024-04-17 19:51:10,"{'neg': 0.026, 'neu': 0.699, 'pos': 0.276, 'compound': 1.0}",1
132,CSX,CSX,Industrials,Rail Transportation,QQ1,2024,2024-04-17 21:05:24,"{'neg': 0.027, 'neu': 0.709, 'pos': 0.264, 'compound': 1.0}",1
133,CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.033, 'neu': 0.758, 'pos': 0.209, 'compound': 1.0}",1
134,CVS,CVS Health,Health Care,Health Care Services,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.045, 'neu': 0.727, 'pos': 0.228, 'compound': 1.0}",1
135,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,QQ1,2024,2024-05-14 17:00:24,"{'neg': 0.016, 'neu': 0.767, 'pos': 0.217, 'compound': 0.9999}",1
136,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,QQ1,2024,2023-09-21 13:14:09,"{'neg': 0.032, 'neu': 0.751, 'pos': 0.217, 'compound': 1.0}",1
137,DVA,DaVita Inc.,Health Care,Health Care Services,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.025, 'neu': 0.753, 'pos': 0.222, 'compound': 1.0}",1
138,DAY,Dayforce,Industrials,Human Resource & Employment Services,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.019, 'neu': 0.73, 'pos': 0.251, 'compound': 1.0}",1
139,DECK,Deckers Brands,Consumer Discretionary,Footwear,QQ1,2024,2023-07-27 20:35:06,"{'neg': 0.026, 'neu': 0.711, 'pos': 0.263, 'compound': 1.0}",1
140,DE,John Deere,Industrials,Agricultural & Farm Machinery,QQ1,2024,2024-02-15 00:00:00,"{'neg': 0.027, 'neu': 0.756, 'pos': 0.217, 'compound': 1.0}",1
141,DAL,Delta Air Lines,Industrials,Passenger Airlines,QQ1,2024,2024-04-10 13:22:10,"{'neg': 0.023, 'neu': 0.717, 'pos': 0.26, 'compound': 1.0}",1
142,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.018, 'neu': 0.701, 'pos': 0.281, 'compound': 1.0}",1
143,DXCM,Dexcom,Health Care,Health Care Equipment,QQ1,2024,2024-04-25 00:00:00,"{'neg': 0.017, 'neu': 0.753, 'pos': 0.23, 'compound': 1.0}",1
144,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.036, 'neu': 0.745, 'pos': 0.219, 'compound': 1.0}",1
145,DLR,Digital Realty,Real Estate,Data Center REITs,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.025, 'neu': 0.761, 'pos': 0.214, 'compound': 1.0}",1
