ticker,company,sector,sub-sector,quarter,year,date,sentiment scores,compiled sentiment
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,QQ1,2024,5/3/2024 0:00,"{'neg': 0.035, 'neu': 0.733, 'pos': 0.232, 'compound': 1.0}",1
CCI,Crown Castle,Real Estate,Telecom Tower REITs,QQ1,2024,4/17/2024 19:51,"{'neg': 0.026, 'neu': 0.699, 'pos': 0.276, 'compound': 1.0}",1
CSX,CSX,Industrials,Rail Transportation,QQ1,2024,4/17/2024 21:05,"{'neg': 0.027, 'neu': 0.709, 'pos': 0.264, 'compound': 1.0}",1
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,QQ1,2024,5/2/2024 0:00,"{'neg': 0.033, 'neu': 0.758, 'pos': 0.209, 'compound': 1.0}",1
CVS,CVS Health,Health Care,Health Care Services,QQ1,2024,5/1/2024 0:00,"{'neg': 0.045, 'neu': 0.727, 'pos': 0.228, 'compound': 1.0}",1
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,QQ1,2024,5/14/2024 17:00,"{'neg': 0.016, 'neu': 0.767, 'pos': 0.217, 'compound': 0.9999}",1
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,QQ1,2024,9/21/2023 13:14,"{'neg': 0.032, 'neu': 0.751, 'pos': 0.217, 'compound': 1.0}",1
DVA,DaVita Inc.,Health Care,Health Care Services,QQ1,2024,5/2/2024 0:00,"{'neg': 0.025, 'neu': 0.753, 'pos': 0.222, 'compound': 1.0}",1
DAY,Dayforce,Industrials,Human Resource & Employment Services,QQ1,2024,5/1/2024 0:00,"{'neg': 0.019, 'neu': 0.73, 'pos': 0.251, 'compound': 1.0}",1
DECK,Deckers Brands,Consumer Discretionary,Footwear,QQ1,2024,7/27/2023 20:35,"{'neg': 0.026, 'neu': 0.711, 'pos': 0.263, 'compound': 1.0}",1
DE,John Deere,Industrials,Agricultural & Farm Machinery,QQ1,2024,2/15/2024 0:00,"{'neg': 0.027, 'neu': 0.756, 'pos': 0.217, 'compound': 1.0}",1
